time,b1
8/5/2022,0.90840226
8/6/2022,0.8470255
8/7/2022,0.8510682
8/8/2022,0.9602065
8/9/2022,0.86935866
8/10/2022,0.90297884
8/11/2022,0.90628356
8/12/2022,0.9585233
8/13/2022,0.9313826
8/14/2022,0.9840782
8/15/2022,1.1749882
8/16/2022,1.0875009
8/17/2022,0.9629288
8/18/2022,0.94688225
8/19/2022,0.9583548
8/20/2022,0.9804617
8/21/2022,1.0124444
8/22/2022,0.9104546
8/23/2022,0.8543415
8/24/2022,0.9332653
8/25/2022,1.0441512
8/26/2022,1.0344255
8/27/2022,0.94312525
8/28/2022,0.96557313
8/29/2022,1.0683359
8/30/2022,1.0400957
8/31/2022,0.9288211
9/1/2022,0.89784575
9/2/2022,0.92605776
9/3/2022,0.93166256
9/4/2022,0.9147789
9/5/2022,0.8263033
9/6/2022,0.82573414
9/7/2022,0.90167916
9/8/2022,0.8852666
9/9/2022,0.94428074
9/10/2022,0.9071193
9/11/2022,0.9773902
9/12/2022,1.0773139
9/13/2022,1.1601061
9/14/2022,1.1778187
9/15/2022,1.1770315
9/16/2022,1.1734128
9/17/2022,1.1480445
9/18/2022,1.0941472
9/19/2022,1.0118889
9/20/2022,1.2457292
9/21/2022,1.147562
9/22/2022,1.0854815
9/23/2022,1.2273964
9/24/2022,1.253274
9/25/2022,1.4187132
9/26/2022,1.2480276
9/27/2022,1.2171695
9/28/2022,1.0938718
9/29/2022,0.9935166
9/30/2022,0.9935166
10/1/2022,0.92530125
10/2/2022,1.0966829
10/3/2022,1.1079942
10/4/2022,1.4469217
10/5/2022,1.2421561
10/6/2022,1.229424
10/7/2022,1.1587332
10/8/2022,1.5422382
10/9/2022,1.6660928
10/10/2022,1.4590572
10/11/2022,1.1093003
10/12/2022,1.311963
10/13/2022,1.1948409
10/14/2022,1.1725885
10/15/2022,1.1384033
10/16/2022,1.1173502
10/17/2022,1.0229845
10/18/2022,0.9720588
10/19/2022,1.0002431
10/20/2022,1.0900198
10/21/2022,1.1868972
10/22/2022,1.4542353
10/23/2022,1.2834578
10/24/2022,1.1518251
10/25/2022,1.3923502
10/26/2022,2.3470578
10/27/2022,2.7531822
10/28/2022,1.8473961
10/29/2022,1.649594
10/30/2022,1.3661801
10/31/2022,1.8212576
11/1/2022,1.5391757
11/2/2022,1.2860367
11/3/2022,1.6808789
11/4/2022,1.5638247
11/5/2022,1.1812605
11/6/2022,1.117776
11/7/2022,1.142095
11/8/2022,1.2322513
11/9/2022,1.2505392
11/10/2022,1.3575429
11/11/2022,2.3606052
11/12/2022,1.6278864
11/13/2022,1.3099803
11/14/2022,1.2460694
11/15/2022,1.1657135
11/16/2022,1.994138
11/17/2022,2.3103075
11/18/2022,2.751708
11/19/2022,2.4634225
11/20/2022,2.6724498
11/21/2022,3.0914638
11/22/2022,3.0828166
11/23/2022,2.835819
11/24/2022,1.9606551
11/25/2022,1.8270756
11/26/2022,1.7375786
11/27/2022,1.7674084
11/28/2022,1.7465137
11/29/2022,2.2907226
11/30/2022,1.8727692
12/1/2022,1.1761402
12/2/2022,1.1771115
12/3/2022,1.0494725
12/4/2022,1.1360592
12/5/2022,1.248639
12/6/2022,1.7646207
12/7/2022,2.568401
12/8/2022,2.3765814
12/9/2022,1.3953917
12/10/2022,1.6251202
12/11/2022,1.6106924
12/12/2022,1.5823535
12/13/2022,1.6921043
